,radiant_Disabler,radiant_Nuker,radiant_Carry,radiant_Initiator,radiant_Escape,radiant_Durable,radiant_Support,radiant_Pusher,radiant_Jungler,dire_Disabler,dire_Nuker,dire_Carry,dire_Initiator,dire_Escape,dire_Durable,dire_Support,dire_Pusher,dire_Jungler,match_id
883,4.0,4.0,2.0,3.0,3.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,3168664511
884,4.0,3.0,2.0,4.0,4.0,0.0,1.0,0.0,2.0,5.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,3168727939
885,5.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,3168799670
886,5.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,0.0,4.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3168880401
887,4.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,3168943785
888,4.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,3169031283
889,5.0,3.0,3.0,4.0,1.0,3.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,0.0,3169208514
890,2.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,0.0,2.0,4.0,0.0,2.0,3169312660
891,4.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,0.0,5.0,3.0,2.0,5.0,3.0,2.0,2.0,0.0,0.0,3169403528
892,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,0.0,0.0,3169592245
893,4.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,3169747378
894,3.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,3170115907
895,2.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,0.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,3170197181
